,jfel,jmis,jot,pri,gender,age,charge,Race,two_year_recid
1147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2315,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0
856,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1
279,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0
2002,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0
711,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1
3772,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0
2092,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0
2641,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0
1091,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,0
316,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0
2224,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0
218,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,0
1167,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,1
545,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1
1137,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1
1110,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1
1362,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0
564,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0
2529,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1
1420,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,0
2528,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
3094,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1
1765,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,0
3238,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1
3126,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0
3459,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0
1094,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1
1361,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1
517,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
1533,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0
192,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1
1878,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1
3392,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1
2415,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0
1884,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,0
1959,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0
1472,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1
2507,0.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,0
1616,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0
2762,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0
868,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1
1895,0.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,1
2755,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,0
3731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
3165,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
3730,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1
1753,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1
981,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0
681,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1
1358,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1
795,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,1
3874,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0
1054,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
567,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,1
1824,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0
3190,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0
1286,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,1
2634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2325,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1
1211,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0
55,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1
287,0.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,0
3398,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1
398,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1
2718,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0
2786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3130,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0
1397,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0
2611,0.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,0
739,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1
2387,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0
63,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,0
2704,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0
121,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1
1029,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0
3889,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
2771,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1
1,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0
1393,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0
425,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0
3591,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1
2388,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,0
3921,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,0
48,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
407,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1
3653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
562,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0
1239,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1
3541,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,1
3055,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0
2544,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1
2217,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1
749,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1
2858,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,0
70,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0
3601,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1
2368,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0
2865,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0
1350,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0
696,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
1953,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1
598,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0
1012,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0
3717,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1
3380,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0
3053,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0
2514,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0
2175,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1
4084,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0
2137,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0
786,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1
3605,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0
1325,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1
580,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1
1989,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0
2423,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1
3464,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1
220,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0
1825,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0
1843,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1
2144,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
4115,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1
637,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0
3249,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0
1721,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1
1169,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1
1109,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0
3979,0.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,0
3668,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1
3831,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1
1952,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0
742,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0
125,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1
1886,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0
2138,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
2977,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0
3800,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0
2183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1590,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0
