,jfel,jmis,jot,pri,gender,age,charge,Race,two_year_recid
6900,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1
2656,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0
5810,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0
1595,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
3592,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
5051,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
4670,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0
2375,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0
3881,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0
4516,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0
2888,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,0
5886,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1
6818,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0
307,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1
609,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1
2830,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
118,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0
3651,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1
880,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0
6667,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1
4746,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1
5127,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1
7008,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0
5075,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0
1380,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0
1714,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,0
4407,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0
477,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0
1130,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1
5025,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0
793,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0
263,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
2321,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1
5223,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1
3110,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,0
5985,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0
2495,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0
4799,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0
5758,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1
921,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0
4137,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1
6941,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0
3944,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0
1773,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1
4439,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1
4106,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1
2876,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0
5375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
3551,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
621,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0
5276,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0
6125,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0
4915,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1
4530,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
4030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
678,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1
430,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1
2874,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1
901,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0
7094,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1
4628,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1
4539,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
256,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1
6213,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,0
5570,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0
2496,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1
3745,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1
859,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0
3095,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0
60,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,1
5631,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0
1058,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
4945,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1
620,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0
5600,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0
165,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,1
2665,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1
3000,0.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,0
4681,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
556,0.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,0
4061,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0
3820,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0
706,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0
539,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1
3332,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0
3122,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0
376,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1
2737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
6405,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
540,1.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,1
6384,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1
1061,0.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,0
3528,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,0
4224,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1
5183,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0
6745,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1
1192,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0
4617,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0
1758,0.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,0
6490,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1
6392,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1
6081,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0
4226,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0
5919,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0
3470,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1
6313,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,0
1537,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,1
6359,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1
6038,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0
2259,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1
4614,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0
4977,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1
438,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0
2290,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,0
1371,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1
5799,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0
7072,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0
